Id,SalePrice
1461,116930.0602232434
1462,160386.06079275522
1463,185141.4062427182
1464,200390.62478808165
1465,198111.3641767522
1466,175080.46169958383
1467,178012.9802084017
1468,166221.42979187358
1469,195006.67625910943
1470,119925.97964663194
1471,188282.53494103043
1472,98859.78815353838
1473,98719.33050656499
1474,149436.61907235466
1475,107626.81149217712
1476,362304.65427836357
1477,255920.76873619773
1478,294881.33656783757
1479,294913.2305240693
1480,494449.614492283
1481,339436.59670522314
1482,221599.36604789592
1483,182041.04236242405
1484,157736.53634503996
1485,193953.68093157487
1486,198081.07753676156
1487,334131.94494695234
1488,238913.4008198743
1489,190901.5730451619
1490,242671.37219903938
1491,195740.89134797768
1492,94925.79919350408
1493,179275.09202591443
1494,299319.79226602666
1495,302358.49795189564
1496,229277.98811945165
1497,180115.26438156492
1498,161274.77386917692
1499,160945.438679086
1500,157697.43753759246
1501,178364.10349143343
1502,148266.26944117498
1503,281342.7398067953
1504,243101.78717243025
1505,227385.57415323632
1506,199874.95489848498
1507,252139.99784155368
1508,203653.103542353
1509,165233.33334798864
1510,144390.9095110346
1511,149352.20112538856
1512,179272.26149027474
1513,147794.13424870555
1514,153705.53006467625
1515,198587.14615924077
1516,154072.54268131152
1517,176320.4838039043
1518,135811.29528868615
1519,206898.3869546754
1520,130390.13822240448
1521,131612.08025398766
1522,182765.1220673945
1523,113536.58182740863
1524,127769.33008490023
1525,120616.58529612941
1526,113949.77926662595
1527,109902.50581874726
1528,146097.43585711403
1529,149846.31387390412
1530,188470.4151548178
1531,109881.13031235544
1532,99791.58695735186
1533,155159.27624118066
1534,126231.5137024423
1535,155357.12089434426
1536,109457.48757344208
1537,64713.80946959002
1538,150639.33612611247
1539,204129.57036043063
1540,94332.67342645871
1541,143981.21621097342
1542,143903.66957884497
1543,189610.9514175853
1544,88767.92235447362
1545,116216.16418057101
1546,132895.21776380707
1547,131005.30930721188
1548,139264.30872659024
1549,120535.48043954297
1550,132311.11529394495
1551,111902.24453286784
1552,137999.8723229193
1553,151577.65020639176
1554,121038.52854833455
1555,170097.07064626185
1556,83353.40847122023
